SEM_EXM_EXCH_ID, SEM_SEGMENT,SEM_SMST_SECURITY_ID,SEM_INSTRUMENT_NAME,SEM_EXPIRY_CODE,SEM_TRADING_SYMBOL,SEM_LOT_UNITS,SEM_CUSTOM_SYMBOL,SEM_EXPIRY_DATE,SEM_STRIKE_PRICE,SEM_OPTION_TYPE,SEM_TICK_SIZE,SEM_EXPIRY_FLAG,SEM_EXCH_INSTRUMENT_TYPE,SEM_SERIES,SM_SYMBOL_NAME,TICKER,EXPIRY
NSE,D,40919,OPTSTK,0,EICHERMOT-Aug2024-2600-CE,175.0,EICHERMOT 29 AUG 2600 CALL,2024-08-29 14:30:00,2600.0,CE,5.0,M,OP,,,EICHERMOT,Aug2024
NSE,D,40920,OPTSTK,0,EICHERMOT-Aug2024-2600-PE,175.0,EICHERMOT 29 AUG 2600 PUT,2024-08-29 14:30:00,2600.0,PE,5.0,M,OP,,,EICHERMOT,Aug2024
NSE,D,40921,OPTSTK,0,EICHERMOT-Aug2024-2700-CE,175.0,EICHERMOT 29 AUG 2700 CALL,2024-08-29 14:30:00,2700.0,CE,5.0,M,OP,,,EICHERMOT,Aug2024
NSE,D,40922,OPTSTK,0,EICHERMOT-Aug2024-2700-PE,175.0,EICHERMOT 29 AUG 2700 PUT,2024-08-29 14:30:00,2700.0,PE,5.0,M,OP,,,EICHERMOT,Aug2024
NSE,D,40923,OPTSTK,0,EICHERMOT-Aug2024-2800-CE,175.0,EICHERMOT 29 AUG 2800 CALL,2024-08-29 14:30:00,2800.0,CE,5.0,M,OP,,,EICHERMOT,Aug2024
NSE,D,40924,OPTSTK,0,EICHERMOT-Aug2024-2800-PE,175.0,EICHERMOT 29 AUG 2800 PUT,2024-08-29 14:30:00,2800.0,PE,5.0,M,OP,,,EICHERMOT,Aug2024
NSE,D,40925,OPTSTK,0,EICHERMOT-Aug2024-3250-CE,175.0,EICHERMOT 29 AUG 3250 CALL,2024-08-29 14:30:00,3250.0,CE,5.0,M,OP,,,EICHERMOT,Aug2024
NSE,D,40926,OPTSTK,0,EICHERMOT-Aug2024-3250-PE,175.0,EICHERMOT 29 AUG 3250 PUT,2024-08-29 14:30:00,3250.0,PE,5.0,M,OP,,,EICHERMOT,Aug2024
NSE,D,40928,OPTSTK,0,EICHERMOT-Aug2024-3350-CE,175.0,EICHERMOT 29 AUG 3350 CALL,2024-08-29 14:30:00,3350.0,CE,5.0,M,OP,,,EICHERMOT,Aug2024
NSE,D,40929,OPTSTK,0,EICHERMOT-Aug2024-3350-PE,175.0,EICHERMOT 29 AUG 3350 PUT,2024-08-29 14:30:00,3350.0,PE,5.0,M,OP,,,EICHERMOT,Aug2024
